id;code;okved;version;ismain
2b306812-36cb-4707-9518-606a9272b7f7;46.72;Торговля оптовая металлами и металлическими рудами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.52;Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.59;Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.78;Торговля розничная прочая в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;49.32;Деятельность легкового такси и арендованных легковых автомобилей с водителем;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;58.11.1;Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;62.01;Разработка компьютерного программного обеспечения;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;63.99.12;Деятельность по оказанию услуг службами информационного поиска по договору или на платной основе;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;69.1;Деятельность в области права;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;71.12.2;Деятельность заказчика-застройщика, генерального подрядчика;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;62.02.9;Деятельность консультативная в области компьютерных технологий прочая;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;90.03;Деятельность в области художественного творчества;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;96.02;Предоставление услуг парикмахерскими и салонами красоты;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.76;Торговля оптовая прочими промежуточными продуктами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.77;Торговля оптовая отходами и ломом;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.59.1;Торговля розничная мебелью в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.41.2;Торговля розничная программным обеспечением в специализированных магазинах;2014;0
64b85be7-0283-462d-90e2-7197550c7815;46.51;Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением;2014;0
0ec2a95b-e182-4940-8630-e3f82955d84c;47.51.1;Торговля розничная текстильными изделиями в специализированных магазинах;2014;0
0ec2a95b-e182-4940-8630-e3f82955d84c;47.72.1;Торговля розничная обувью в специализированных магазинах;2014;0
f13ddf08-9265-4fc4-950f-c12d0ffdf298;43.21;Производство электромонтажных работ;2014;1
acae985a-58c4-4e82-b3d5-a385aab34855;46.9;Торговля оптовая неспециализированная;2014;0
892e6d8e-d508-46ec-97f2-ed2cd3829b24;82.19;Деятельность по фотокопированию и подготовке документов и прочая специализированная вспомогательная деятельность по обеспечению деятельности офиса;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;58.19;Виды издательской деятельности прочие;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;49.39.2;Перевозка пассажиров фуникулерами, подвесными канатными дорогами и лыжными подъемниками, не являющимися частью внутригородской, пригородной или городской и пригородной транспортных систем;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;82.19;Деятельность по фотокопированию и подготовке документов и прочая специализированная вспомогательная деятельность по обеспечению деятельности офиса;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;96.09;Предоставление прочих персональных услуг, не включенных в другие группировки;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;79.90.22;Деятельность самостоятельных экскурсоводов и гидов по предоставлению экскурсионных туристических услуг;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.21;Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.44;Торговля оптовая изделиями из керамики и стекла и чистящими средствами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.66;Торговля оптовая прочей офисной техникой и оборудованием;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.41.4;Торговля розничная офисными машинами и оборудованием в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.53.2;Торговля розничная портьерами, тюлевыми занавесями в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.76;Торговля розничная цветами и другими растениями, семенами, удобрениями, домашними животными и кормами для домашних животных в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;49.31;Деятельность сухопутного пассажирского транспорта: перевозки пассажиров в городском и пригородном сообщении;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;53.20.3;Деятельность курьерская;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;60.1;Деятельность в области радиовещания;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;62.03;Деятельность по управлению компьютерным оборудованием;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;68.20.1;Аренда и управление собственным или арендованным жилым недвижимым имуществом;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;71.12.11;Разработка проектов тепло-, водо-, газоснабжения;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;74.90.2;Деятельность, направленная на установление рыночной или иной стоимости (оценочная деятельность), кроме оценки, связанной с недвижимым имуществом или страхованием;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;88.99;Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;69.20.1;Деятельность по проведению финансового аудита;2014;0
